symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category,source,priority,baseline_volume,recent_volume,decline_ratio,last_active_date,days_since_active
SIAME,SIAME,2024-11-25,3.53,599101.0,0.035190615835777,15.176584949359231,3.1296788081049867,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SIAME,SIAME,2025-03-18,3.43,80299.0,0.0457317073170733,4.505353053110019,4.436604226251833,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SITS,SITS,2023-10-16,1.66,3233.0,0.0849673202614378,3.1552864102528746,3.0323749895084884,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SITS,SITS,2025-10-01,3.0,224143.0,-0.1549295774647886,19.922586733336228,-3.324665756705978,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SMART,SMART TUNISIE,2025-12-05,18.65,24386.0,0.0477528089887639,3.628299172957954,3.1345788297010317,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SMD,SANIMED,2023-04-11,1.99,120405.0,0.2134146341463414,36.24487841545394,5.4143552748699895,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOKNA,ESSOUKNA,2025-11-25,2.92,47274.0,0.0735294117647058,16.651645602011495,3.017025027989657,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOKNA,ESSOUKNA,2025-11-28,3.35,87759.0,0.1472602739726027,13.19501334230688,5.80620206211936,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOMOC,SOMOCER,2021-10-12,0.91,171787.0,0.058139534883721,8.6174613300075,5.209021424847892,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOMOC,SOMOCER,2022-07-05,0.84,123115.0,0.0370370370370369,4.995750901511072,3.2270628880160666,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOMOC,SOMOCER,2022-07-06,0.88,196031.0,0.0476190476190476,7.068329884558455,3.760659978439001,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOMOC,SOMOCER,2022-08-31,0.9,292784.0,0.0588235294117647,3.882944458062443,3.8204349819903456,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOMOC,SOMOCER,2022-09-01,0.95,513374.0,0.0555555555555555,6.488812438769783,3.175222610437034,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOMOC,SOMOCER,2025-04-18,0.55,418519.0,0.3095238095238097,8.534706925482514,21.181799971285944,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOMOC,SOMOCER,2025-05-05,0.76,361680.0,0.3818181818181816,5.250290570276779,8.887401885840411,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOMOC,SOMOCER,2026-01-26,0.63,148323.0,0.0677966101694915,3.854851400694625,3.144916560824514,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOPAT,SOPAT,2022-03-14,1.42,11041.0,0.0923076923076922,3.439510892014664,3.4547398360897077,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOTET,SOTETEL,2022-07-27,2.99,27930.0,0.0565371024734981,5.157355988935465,3.5812558319147363,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOTET,SOTETEL,2022-07-28,3.16,52108.0,0.0568561872909698,8.663787989798665,3.214545408950551,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOTET,SOTETEL,2025-04-11,6.02,43367.0,-0.0519685039370079,3.2648744665832545,-3.4724343784186065,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOTET,SOTETEL,2025-12-31,5.21,34136.0,0.0378486055776894,9.078482780818332,3.093724281294058,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SOTUV,SOTUVER,2024-09-12,11.45,126268.0,-0.0418410041841004,16.10430761204334,-5.626529512343977,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SPDIT,SPDIT - SICAF,2022-04-11,8.0,551009.0,-0.0804597701149424,294.63577087558417,-5.860739486211287,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SPDIT,SPDIT - SICAF,2024-04-23,9.53,22270.0,0.0916380297823595,4.772084178940191,3.4874659282731386,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SPDIT,SPDIT - SICAF,2024-07-29,12.7,6141.0,0.0854700854700853,3.9190200819062673,4.3178264236653705,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SPDIT,SPDIT - SICAF,2024-11-07,11.92,9000.0,-0.0448717948717949,7.666446709611962,-3.075414523877017,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SPDIT,SPDIT - SICAF,2024-11-12,11.23,8382.0,-0.0641666666666666,4.340089983486533,-3.83872399740366,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
SPDIT,SPDIT - SICAF,2025-09-05,12.86,11823.0,0.0412955465587043,8.750794751697395,8.223855276213932,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
STB,STB BANK,2025-10-03,3.74,174932.0,-0.0459183673469386,3.009794843611396,-3.0768206209159623,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
STB,STB BANK,2026-04-07,4.47,120023.0,0.0542452830188677,4.6033911946634,3.5432512461701493,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
STIP,STIP,2021-11-19,1.7,176721.0,-0.15,231.57827885396327,-3.086245978529312,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
STPAP,SOTIPAPIER,2025-05-02,3.72,49777.0,-0.0582278481012658,3.989564703325707,-4.52334418803005,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
STPAP,SOTIPAPIER,2026-04-16,2.79,19426.0,0.0568181818181818,4.574720597301134,3.394415609978221,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,
