symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category
PLAST,OFFICE PLAST,2025-12-10,1.61,12017,-0.0747126436781608,2.24679215059906,-3.011164155403864,False,True,False,UNEXPLAINED,,,,
PLAST,OFFICE PLAST,2025-12-15,1.81,8187,0.0903614457831325,1.941801757627004,3.67938015308264,False,True,False,UNEXPLAINED,,,,
PLAST,OFFICE PLAST,2026-05-11,1.79,41208,0.0591715976331361,0.9825725892441952,3.0621451197849625,False,True,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2022-07-28,7700.39,15857974,0.0009007650653931,6.489558640801233,-0.0079537716022729,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2022-08-26,7971.79,13810914,0.0033075284028336,4.88853845642512,0.2076506159911385,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2023-03-17,8076.18,59189564,-0.0005989342929482,5.913991417217572,-0.0198231689118327,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2023-05-26,8676.9,16696151,0.0010579471211031,3.2049012974175333,0.0064151861416029,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2023-07-20,8992.11,29508422,-0.0001189790485678,4.255447123600884,-0.1618657571275938,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2023-08-10,8901.74,98653562,0.0003910876957966,5.452611935364558,-0.0597855895668343,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2024-05-03,9120.74,10330461,0.0020665946672848,3.980257715753388,0.0952012036876246,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2024-05-16,9123.06,10106855,1.8634445882792505e-05,3.2044224881978027,-0.1004054434424724,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2024-06-13,9663.86,40338132,0.0026810485971184,3.700679262437219,0.0894685621400527,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2024-10-02,9970.8,143821089,-0.0020767548578548,5.529852453338741,-0.2512389357352929,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2024-12-20,9884.5,30430779,-0.0008167737839875,3.18663024324334,-0.0956187414891629,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2025-01-29,10226.66,16980183,0.0035621901483362,3.0264471084934783,0.298478219152545,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2025-07-11,11746.15,34252680,0.0040079458017001,3.7620404385056023,0.3008259453218513,True,False,False,UNEXPLAINED,,,,
PX1,TUNINDEX,2025-10-28,12500.07,29057246,-0.0003222942874737,3.89523111089794,-0.1202949639410196,True,False,False,UNEXPLAINED,,,,
SAH,SAH,2021-09-17,9.488889079419758,12661,0.0338983050847456,0.5363347033249557,3.466359207215891,False,True,False,UNEXPLAINED,,,,
SAH,SAH,2021-10-22,8.788889065364204,79224,-0.0341880341880339,1.8551704294881532,-3.111396399132942,False,True,False,EXPLAINED,Le Groupe SAH Lilas annonce un bénéfice net de 13 millions de dinars au premier semestre,2021-10-22,0.0,earnings_results
SAH,SAH,2021-10-26,9.092222404788275,29781,0.0446827524575512,1.047889834309533,4.348098649944961,False,True,False,EXPLAINED,Le Groupe SAH Lilas annonce un bénéfice net de 13 millions de dinars au premier semestre,2021-10-22,-4.0,earnings_results
SAH,SAH,2022-09-01,8.166666830648152,503258,0.0268948655256724,3.011382699323212,2.453189254370532,True,False,False,UNEXPLAINED,,,,
SAH,SAH,2022-09-06,8.604166839432873,264029,0.0411764705882351,2.511270386801182,3.566268270171674,False,True,False,UNEXPLAINED,,,,
SAH,SAH,2022-11-21,8.798611287781641,33933,-0.0341515474919954,-0.1862664634541607,-3.086496714972651,False,True,False,UNEXPLAINED,,,,
SAH,SAH,2023-03-24,9.226389074148926,135041,0.0463065049614115,1.2514111531174752,4.734354015656472,False,True,False,UNEXPLAINED,,,,
SAH,SAH,2023-06-19,9.527777969089511,660315,-0.0040650406504064,3.061794994947193,-0.539557594446085,True,False,False,EXPLAINED,SAH Lilas : Réalisation de deux transactions de blocs pour plus de 6 millions de dinars,2023-06-20,1.0,other_news
SAH,SAH,2023-07-11,8.75000017569445,649553,-0.0566037735849057,3.504392147427226,-5.580636421662497,True,True,True,UNEXPLAINED,,,,
SAH,SAH,2023-07-12,8.944444624043214,526456,0.0222222222222221,3.0084324857280933,2.382996061798256,True,False,False,UNEXPLAINED,,,,
SAH,SAH,2023-10-19,8.21,932262,-0.0108433734939759,4.122226056127423,-0.999170278750623,True,False,False,EXPLAINED,Les revenus du Groupe SAH à fin septembre dépassent les 670 millions de dinars,2023-10-23,4.0,earnings_results
SAH,SAH,2023-11-01,7.78,891871,-0.0089171974522291,3.494436838931928,-0.7428633485003705,True,False,False,EXPLAINED,Le Groupe SAH Lilas annonce un bénéfice semestriel de plus de 12 millions de dinars,2023-11-02,1.0,earnings_results
SAH,SAH,2023-11-08,8.1,2011272,0.0188679245283018,3.676271337575892,1.9986926499102733,True,False,False,EXPLAINED,Le Groupe SAH Lilas annonce un bénéfice semestriel de plus de 12 millions de dinars,2023-11-02,-6.0,earnings_results
SAH,SAH,2023-11-09,8.38,39769,0.0345679012345681,0.7299627469834545,3.533331416589099,False,True,False,EXPLAINED,Le Groupe SAH Lilas annonce un bénéfice semestriel de plus de 12 millions de dinars,2023-11-02,-7.0,earnings_results
SAH,SAH,2024-05-15,8.16,142103,-0.0048780487804876,3.131767503073077,-0.4065010034637255,True,False,False,UNEXPLAINED,,,,
SAH,SAH,2024-06-05,8.25,305394,0.0060975609756097,3.690806044975704,0.6853059634626549,True,False,False,EXPLAINED,SAH Lilas va élire un Administrateur représentant des actionnaires minoritaires,2024-06-05,0.0,other_news
SAH,SAH,2024-07-02,9.0,1185210,0.0158013544018058,4.378119673429409,1.4784936616873716,True,False,False,EXPLAINED,SAH Lilas se lance dans la fabrication des produits cosmétiques,2024-07-09,7.0,other_news
SAH,SAH,2024-07-08,8.8,50956,-0.0329670329670328,0.7767443996726159,-3.439765783100121,False,True,False,EXPLAINED,SAH Lilas se lance dans la fabrication des produits cosmétiques,2024-07-09,1.0,other_news
SAH,SAH,2024-07-17,10.0,119009,0.0395010395010395,1.5164492308972668,3.3914470963724264,False,True,False,UNEXPLAINED,,,,
