symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly
LSTR,ELECTROSTAR,2024-03-12,0.67,4800,0.21818181818181825,1.0759107515680602,3.8131789496573765,False,True,False
MAG,MAGASIN GENERAL,2021-10-19,16.0,5,-0.03147699757869249,-1.517244810141704,-3.265967792239068,False,True,False
MAG,MAGASIN GENERAL,2022-03-23,12.43,345,-0.04384615384615387,0.12190832899565039,-3.211230121134402,False,True,False
MAG,MAGASIN GENERAL,2022-04-27,11.9,87,0.06822262118491929,-0.30009069347725004,3.880280787756164,False,True,False
MAG,MAGASIN GENERAL,2022-05-27,14.23,9,0.09042145593869733,-1.0221560412592734,4.132004967134566,False,True,False
MAG,MAGASIN GENERAL,2023-06-02,10.99,4,0.09899999999999998,-1.2294536964976688,4.022202609891405,False,True,False
MAG,MAGASIN GENERAL,2023-06-16,10.0,310,-0.11504424778761069,1.0292052094788697,-3.872189968617399,False,True,False
MAG,MAGASIN GENERAL,2023-10-26,9.15,283,-0.12774070543374638,1.3059142108828354,-3.852703863986603,False,True,False
MAG,MAGASIN GENERAL,2024-07-01,5.99,42,0.08909090909090911,-0.37031085621476717,3.7393633135215674,False,True,False
MAG,MAGASIN GENERAL,2024-08-16,6.99,48,0.09218749999999987,-0.5018254669384525,3.66414264479231,False,True,False
MAG,MAGASIN GENERAL,2024-12-25,7.32,405131,0.0,5.167178638837306,-0.12903133246771703,True,False,False
MAG,MAGASIN GENERAL,2025-01-16,7.55,995000,0.0,4.595645306386362,-0.14190816065189882,True,False,False
MAG,MAGASIN GENERAL,2025-01-22,7.0,9,-0.07284768211920523,-1.1090647603544723,-3.123807653440737,False,True,False
MAG,MAGASIN GENERAL,2025-01-29,7.0,1260000,0.0,4.028409068148429,-0.044982695683030274,True,False,False
MAG,MAGASIN GENERAL,2025-04-24,6.79,360,-0.06730769230769229,0.3991205777710602,-3.1094206415531125,False,True,False
