symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category,source,priority,baseline_volume,recent_volume,decline_ratio,last_active_date,days_since_active,index_return,index_return_zscore,co_flagged_count,excess_return,tag
SFBT,SFBT,2022-03-18,17.0,37254.0,-0.0224266820011501,3.7068628367124825,-3.620467393591107,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.003522327167048589,-0.853573278973952,3.0,-0.018904354834101512,MARKET_WIDE
SIAME,SIAME,2022-10-03,3.71,367291.0,0.06,66.78223682354789,6.372588783167901,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0021339664741371056,-1.1631481886751072,2.0,0.0621339664741371,COMPANY_SPECIFIC
SIAME,SIAME,2023-10-23,3.67,29302.0,0.0485714285714284,5.201751226193345,4.430504846907828,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0057313951643649386,1.9227285809243055,2.0,0.04284003340706346,COMPANY_SPECIFIC
SIAME,SIAME,2024-11-25,3.53,599101.0,0.035190615835777,15.176584949359231,3.1296788081049867,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0017071628302327557,0.5307570907610288,4.0,0.03348345300554424,MARKET_WIDE
SIAME,SIAME,2025-03-18,3.43,80299.0,0.0457317073170733,4.505353053110019,4.436604226251833,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,,,3.0,,MARKET_WIDE
SITS,SITS,2023-10-16,1.66,3233.0,0.0849673202614378,3.1552864102528746,3.0323749895084884,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0005514731875622125,0.4302720093672017,2.0,0.08441584707387559,COMPANY_SPECIFIC
SITS,SITS,2025-10-01,3.0,224143.0,-0.1549295774647886,19.922586733336228,-3.324665756705978,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0014124168532287928,0.08840587251879885,0.0,-0.1563419943180174,COMPANY_SPECIFIC
SMART,SMART TUNISIE,2025-12-05,18.65,24386.0,0.0477528089887639,3.628299172957954,3.134578829701032,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0050755268699906875,0.9780750725202071,0.0,0.04267728211877321,COMPANY_SPECIFIC
SMD,SANIMED,2023-04-11,1.99,120405.0,0.2134146341463414,36.24487841545394,5.4143552748699895,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0006114869587943161,0.13061597936890815,4.0,0.2128031471875471,MARKET_WIDE
SOKNA,ESSOUKNA,2025-11-25,2.92,47274.0,0.0735294117647058,16.651645602011495,3.017025027989657,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0014685109087761994,-0.9136086188213325,1.0,0.074997922673482,COMPANY_SPECIFIC
SOKNA,ESSOUKNA,2025-11-28,3.35,87759.0,0.1472602739726027,13.19501334230688,5.80620206211936,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0039215237921021995,0.6176293493647834,2.0,0.1433387501805005,COMPANY_SPECIFIC
SOMOC,SOMOCER,2021-10-12,0.91,171787.0,0.058139534883721,8.6174613300075,5.209021424847892,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0020576046615151666,-0.8058822449539979,1.0,0.060197139545236165,COMPANY_SPECIFIC
SOMOC,SOMOCER,2022-07-05,0.84,123115.0,0.0370370370370369,4.995750901511072,3.2270628880160666,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0027596558014645334,-1.2107532719526073,5.0,0.039796692838501437,MARKET_WIDE
SOMOC,SOMOCER,2022-07-06,0.88,196031.0,0.0476190476190476,7.068329884558455,3.760659978439001,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0026485418342854228,0.6186185638614812,2.0,0.04497050578476218,COMPANY_SPECIFIC
SOMOC,SOMOCER,2022-08-31,0.9,292784.0,0.0588235294117647,3.882944458062443,3.8204349819903456,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.011834068438407064,3.6029886951544405,2.0,0.046989460973357634,MARKET_WIDE
SOMOC,SOMOCER,2022-09-01,0.95,513374.0,0.0555555555555555,6.488812438769783,3.175222610437034,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.003257566039411408,0.4972679565769994,8.0,0.05229798951614409,MARKET_WIDE
SOMOC,SOMOCER,2025-04-18,0.55,418519.0,0.3095238095238097,8.534706925482514,21.181799971285944,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.004294492336086808,-1.5613845105303814,2.0,0.3138183018598965,COMPANY_SPECIFIC
SOMOC,SOMOCER,2025-05-05,0.76,361680.0,0.3818181818181816,5.250290570276779,8.887401885840411,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.006822479267589943,1.378289881430675,4.0,0.37499570255059167,MARKET_WIDE
SOMOC,SOMOCER,2026-01-26,0.63,148323.0,0.0677966101694915,3.854851400694625,3.144916560824514,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.002671888297101077,0.12741883089458647,5.0,0.06512472187239042,MARKET_WIDE
SOPAT,SOPAT,2022-03-14,1.42,11041.0,0.0923076923076922,3.439510892014664,3.454739836089708,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.016550936389243986,5.549420746597894,20.0,0.07575675591844822,MARKET_WIDE
SOTET,SOTETEL,2022-07-27,2.99,27930.0,0.0565371024734981,5.157355988935465,3.5812558319147363,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-9.227765957864342e-05,-0.3685868881174408,1.0,0.056629380133076744,COMPANY_SPECIFIC
SOTET,SOTETEL,2022-07-28,3.16,52108.0,0.0568561872909698,8.663787989798665,3.214545408950551,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0009007650653931609,-0.026340145112489097,4.0,0.05595542222557664,MARKET_WIDE
SOTET,SOTETEL,2025-04-11,6.02,43367.0,-0.0519685039370079,3.2648744665832545,-3.4724343784186065,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.00017239283063585908,-0.4154716462892758,4.0,-0.05214089676764376,MARKET_WIDE
SOTET,SOTETEL,2025-12-31,5.21,34136.0,0.0378486055776894,9.078482780818332,3.093724281294058,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0062334335580471745,1.5549456490119045,3.0,0.03161517201964222,MARKET_WIDE
SOTUV,SOTUVER,2024-09-12,11.45,126268.0,-0.0418410041841004,16.10430761204334,-5.626529512343977,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0010347955102961715,-0.40288588129308045,2.0,-0.04080620867380423,COMPANY_SPECIFIC
SPDIT,SPDIT - SICAF,2022-04-11,8.0,551009.0,-0.0804597701149424,294.63577087558417,-5.860739486211287,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.002997437561543359,0.7831540920067019,1.0,-0.08345720767648576,COMPANY_SPECIFIC
SPDIT,SPDIT - SICAF,2024-04-23,9.53,22270.0,0.0916380297823595,4.772084178940191,3.4874659282731386,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.00034657377606461814,-0.21704871511226007,7.0,0.09129145600629489,MARKET_WIDE
SPDIT,SPDIT - SICAF,2024-07-29,12.7,6141.0,0.0854700854700853,3.9190200819062673,4.3178264236653705,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.002821257251876763,-1.1062024679965587,1.0,0.08829134272196207,COMPANY_SPECIFIC
SPDIT,SPDIT - SICAF,2024-11-07,11.92,9000.0,-0.0448717948717949,7.666446709611962,-3.075414523877017,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0007488886066303602,-0.2566180920323585,1.0,-0.04412290626516454,COMPANY_SPECIFIC
SPDIT,SPDIT - SICAF,2024-11-12,11.23,8382.0,-0.0641666666666666,4.340089983486533,-3.83872399740366,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0031787713357750436,-0.9995917434184707,3.0,-0.06098789533089155,MARKET_WIDE
SPDIT,SPDIT - SICAF,2025-09-05,12.86,11823.0,0.0412955465587043,8.750794751697395,8.223855276213932,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0013959627420052634,0.1676574328960725,1.0,0.03989958381669904,COMPANY_SPECIFIC
STB,STB BANK,2025-10-03,3.74,174932.0,-0.0459183673469386,3.009794843611396,-3.0768206209159623,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.007847161610836095,-2.8927267577455336,2.0,-0.0380712057361025,MARKET_WIDE
STB,STB BANK,2026-04-07,4.47,120023.0,0.0542452830188677,4.6033911946634,3.5432512461701493,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.001923239139603572,-0.111456994283612,1.0,0.052322043879264125,COMPANY_SPECIFIC
STIP,STIP,2021-11-19,1.7,176721.0,-0.15,231.57827885396327,-3.086245978529312,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0002702095403877003,0.2935652669218535,1.0,-0.1502702095403877,COMPANY_SPECIFIC
STPAP,SOTIPAPIER,2025-05-02,3.72,49777.0,-0.0582278481012658,3.989564703325707,-4.52334418803005,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.004078566062037048,-1.5221143819321425,2.0,-0.05414928203922875,COMPANY_SPECIFIC
STPAP,SOTIPAPIER,2026-04-16,2.79,19426.0,0.0568181818181818,4.574720597301134,3.394415609978221,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.006349454347768901,0.6846868497522159,4.0,0.0504687274704129,MARKET_WIDE
STPIL,SOTRAPIL,2022-11-10,12.51,20232.0,-0.0362095531587057,19.98570805628613,-3.8489910936967897,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.002881608521450141,-0.8864228451025589,1.0,-0.03332794463725556,COMPANY_SPECIFIC
STPIL,SOTRAPIL,2024-10-24,14.8,4027.0,0.0541310541310542,3.552983294610636,6.092753126918812,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-7.535956185544812e-05,-0.010295168031397614,2.0,0.05420641369290965,COMPANY_SPECIFIC
TGH,TAWASOL,2025-03-12,0.73,71111.0,0.123076923076923,3.493870711973276,5.053395770851942,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.014468084307339257,3.5167284791480857,6.0,0.10860883876958374,MARKET_WIDE
